District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
Shimoga,Domestic Violence,2023,72,24,48,3,50,19,51,21,8
Vijayapura,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Vijayanagar,Domestic Violence,2023,76,32,44,2,48,26,61,15,7
Raichur,Dowry Death,2023,6,2,4,1,4,1,4,2,0
Chamarajanagar2,Rape,2023,40,14,26,7,32,1,27,13,8
Yadgir,Murder,2023,0,0,0,0,0,0,0,0,0
Hassan,Kidnapping,2023,5,2,3,0,3,2,2,3,0
Bengaluru Urban,Rape,2023,28,17,11,4,20,4,14,14,3
Chamarajanagar2,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Chamarajanagar,Kidnapping,2023,7,2,5,1,4,2,4,3,0
Bengaluru Rural,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Shimoga,Cheating,2023,76,34,42,7,50,19,19,57,1
Kolar,Robbery,2023,8,2,6,0,6,2,6,2,1
Yadgir,Molestation,2023,34,13,21,5,28,1,20,14,2
Yadgir,Cyber Crime,2023,69,35,34,2,42,25,61,8,12
Chamarajanagar2,Cyber Crime,2023,47,17,30,4,31,12,37,10,10
Ballari,Cyber Crime,2023,63,32,31,7,45,11,45,18,15
Bengaluru Rural,Molestation,2023,22,11,11,3,14,5,9,13,1
Ballari,Domestic Violence,2023,67,42,25,12,42,13,56,11,24
Chamarajanagar2,Robbery,2023,23,9,14,2,16,5,13,10,3
Udupi,Kidnapping,2023,6,3,3,0,4,2,3,3,0
Hubballi,Molestation,2023,19,11,8,3,13,3,7,12,1
Hubballi,Rape,2023,39,24,15,6,25,8,15,24,1
Chikkamagaluru,Molestation,2023,46,19,27,2,28,16,33,13,6
Chamarajanagar,Domestic Violence,2023,89,61,28,10,75,4,69,20,28
Bidar,Cheating,2023,75,30,45,4,59,12,54,21,16
Vijayapura,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Bengaluru Urban,Cheating,2023,84,35,49,5,70,9,24,60,9
Kodagu,Kidnapping,2023,7,3,4,0,4,3,4,3,0
Chamarajanagar,Murder,2023,3,1,2,0,2,1,2,1,0
Koppal,Cyber Crime,2023,57,33,24,8,36,13,19,38,1
Chamarajanagar,Cheating,2023,89,42,47,13,56,20,24,65,11
Mandya,Robbery,2023,20,7,13,3,13,4,5,15,2
Hassan,Dowry Death,2023,9,5,4,1,6,2,5,4,1
Mandya,Molestation,2023,36,16,20,6,29,1,31,5,13
Ramanagara,Dowry Death,2023,5,3,2,0,3,2,1,4,0
Koppal,Molestation,2023,16,9,7,2,12,2,10,6,2
Davangere,Cheating,2023,77,23,54,8,48,21,46,31,10
Ballari,Rape,2023,35,17,18,1,26,8,31,4,6
Chikkamagaluru,Domestic Violence,2023,68,28,40,4,47,17,23,45,10
Davangere,Cyber Crime,2023,62,37,25,4,43,15,31,31,6
Shivamogga,Cheating,2023,78,45,33,3,65,10,49,29,22
RuralAreaX,Cyber Crime,2023,62,24,38,7,41,14,42,20,6
Chitradurga,Kidnapping,2023,4,2,2,0,3,1,3,1,0
Bengaluru Rural,Cheating,2023,75,27,48,3,61,11,38,37,12
Ballari,Molestation,2023,20,8,12,3,16,1,7,13,3
Vijayanagar,Rape,2023,52,24,28,3,36,13,42,10,10
Chamarajanagar,Robbery,2023,18,9,9,2,14,2,11,7,5
Koppal,Kidnapping,2023,6,1,5,0,5,1,1,5,0
Kodagu,Theft,2023,163,56,107,20,113,30,143,20,24
Kodagu,Rape,2023,43,15,28,4,31,8,12,31,1
Haveri,Cyber Crime,2023,63,26,37,3,44,16,50,13,18
Mangaluru,Kidnapping,2023,11,5,6,1,9,1,8,3,3
RuralAreaX,Murder,2023,2,0,2,0,1,1,0,2,0
Chikkaballapura,Kidnapping,2023,8,4,4,0,6,2,2,6,0
Bengaluru Urban,Kidnapping,2023,7,3,4,1,5,1,4,3,1
Shivamogga,Cheating,2023,94,65,29,10,62,22,46,48,11
RuralAreaX,Molestation,2023,40,23,17,5,30,5,12,28,3
Raichur,Molestation,2023,27,16,11,2,17,8,14,13,2
Haveri,Murder,2023,10,6,4,1,8,1,6,4,2
Kolar,Cyber Crime,2023,61,18,43,8,47,6,40,21,14
Belagavi,Rape,2023,38,25,13,1,26,11,26,12,7
Belagavi,Dowry Death,2023,7,3,4,0,4,3,2,5,0
RuralAreaX,Molestation,2023,30,16,14,4,21,5,10,20,2
Davangere,Theft,2023,143,76,67,13,101,29,65,78,30
Belagavi,Cheating,2023,106,36,70,19,68,19,35,71,14
Mysuru,Domestic Violence,2023,60,19,41,8,42,10,53,7,3
Ballari,Rape,2023,41,19,22,7,34,0,25,16,2
Chitradurga,Molestation,2023,18,10,8,2,12,4,13,5,1
Shivamogga,Domestic Violence,2023,66,44,22,4,50,12,38,28,5
Bidar,Domestic Violence,2023,67,41,26,8,47,12,58,9,27
Chamarajanagar2,Domestic Violence,2023,84,29,55,6,57,21,57,27,17
Hubballi,Rape,2023,43,28,15,2,27,14,19,24,7
Shimoga,Murder,2023,4,1,3,0,3,1,3,1,0
Ballari,Cheating,2023,90,27,63,17,62,11,58,32,23
Yadgir,Murder,2023,7,3,4,0,5,2,3,4,0
Bengaluru Urban,Murder,2023,0,0,0,0,0,0,0,0,0
Kolar,Murder,2023,6,4,2,0,4,2,1,5,0
Bagalkot,Robbery,2023,13,7,6,0,10,3,6,7,1
Bidar,Cheating,2023,80,46,34,13,64,3,49,31,14
Ramanagara,Cheating,2023,97,37,60,11,64,22,39,58,7
Kolar,Kidnapping,2023,7,2,5,0,4,3,2,5,0
Bengaluru Urban,Kidnapping,2023,6,2,4,0,4,2,3,3,1
Chikkamagaluru,Cyber Crime,2023,72,43,29,8,48,16,56,16,14
Hubballi,Robbery,2023,9,3,6,0,7,2,5,4,0
Kolar,Cyber Crime,2023,48,14,34,4,29,15,27,21,7
Haveri,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Bengaluru Rural,Murder,2023,10,5,5,0,7,3,5,5,1
Chamarajanagar,Dowry Death,2023,8,2,6,0,5,3,3,5,0
Bengaluru Urban,Molestation,2023,15,9,6,0,10,5,9,6,3
Chamarajanagar2,Molestation,2023,20,8,12,2,14,4,6,14,0
Gadag,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Udupi,Robbery,2023,22,8,14,2,17,3,9,13,1
Koppal,Robbery,2023,22,7,15,1,18,3,19,3,2
Mandya,Kidnapping,2023,6,2,4,0,4,2,3,3,0
Tumakuru,Rape,2023,45,15,30,2,30,13,15,30,1
Gadag,Robbery,2023,13,4,9,2,8,3,11,2,3
Kalaburagi,Rape,2023,25,13,12,1,17,7,21,4,1
Kodagu,Murder,2023,4,2,2,0,2,2,2,2,0
Chamarajanagar,Cyber Crime,2023,65,43,22,7,46,12,48,17,5
Chikkaballapura,Molestation,2023,28,16,12,3,16,9,24,4,10
Kolar,Cyber Crime,2023,65,34,31,2,40,23,32,33,8
Chamarajanagar2,Murder,2023,11,6,5,2,8,1,8,3,1
Mangaluru,Molestation,2023,23,7,16,1,18,4,10,13,3
Kalaburagi,Molestation,2023,24,12,12,0,19,5,8,16,0
Bagalkot,Kidnapping,2023,6,3,3,0,4,2,4,2,0
Chamarajanagar,Murder,2023,6,3,3,1,4,1,3,3,0
Gadag,Cheating,2023,107,57,50,6,89,12,50,57,23
Davangere,Molestation,2023,21,14,7,2,17,2,8,13,3
Bengaluru Rural,Domestic Violence,2023,90,62,28,15,66,9,34,56,15
Udupi,Kidnapping,2023,10,3,7,0,6,4,3,7,0
Chamarajanagar,Molestation,2023,35,18,17,6,27,2,10,25,3
Bengaluru Urban,Robbery,2023,11,3,8,1,7,3,7,4,1
Chamarajanagar,Cyber Crime,2023,79,49,30,6,59,14,61,18,6
Bengaluru Urban,Robbery,2023,17,10,7,0,12,5,14,3,2
Chamarajanagar2,Kidnapping,2023,7,4,3,1,5,1,3,4,0
Chikkaballapura,Molestation,2023,20,8,12,2,13,5,14,6,6
Mandya,Molestation,2023,17,6,11,0,11,6,12,5,2
Chamarajanagar,Domestic Violence,2023,100,65,35,5,68,27,76,24,5
Chamarajanagar2,Robbery,2023,15,8,7,2,10,3,6,9,1
Yadgir,Dowry Death,2023,6,2,4,0,4,2,4,2,0
Bidar,Kidnapping,2023,8,2,6,0,5,3,3,5,0
Davangere,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Chitradurga,Robbery,2023,20,6,14,3,14,3,7,13,1
Dharwad,Dowry Death,2023,2,0,2,0,1,1,1,1,0
Uttara Kannada,Cheating,2023,80,52,28,13,59,8,36,44,8
Chitradurga,Robbery,2023,11,3,8,0,7,4,5,6,0
Haveri,Murder,2023,2,0,2,0,1,1,1,1,0
Chamarajanagar,Rape,2023,38,14,24,7,28,3,23,15,10
Tumakuru,Murder,2023,5,2,3,0,3,2,1,4,0
Hassan,Theft,2023,107,61,46,3,70,34,86,21,29
Chikkaballapura,Molestation,2023,29,13,16,3,21,5,10,19,1
Raichur,Kidnapping,2023,7,4,3,0,4,3,4,3,0
Raichur,Murder,2023,0,0,0,0,0,0,0,0,0
Mysuru,Molestation,2023,17,8,9,2,14,1,10,7,4
Vijayapura,Domestic Violence,2023,70,23,47,2,45,23,22,48,5
Haveri,Cyber Crime,2023,73,50,23,4,59,10,41,32,8
Uttara Kannada,Murder,2023,0,0,0,0,0,0,0,0,0
Haveri,Theft,2023,141,48,93,5,85,51,57,84,10
Ramanagara,Molestation,2023,25,13,12,3,16,6,6,19,2
Belagavi,Cheating,2023,109,55,54,3,70,36,28,81,7
Mangaluru,Domestic Violence,2023,70,36,34,6,45,19,62,8,12
Mysuru,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Davangere,Robbery,2023,13,5,8,2,8,3,10,3,1
Chamarajanagar2,Domestic Violence,2023,73,27,46,8,59,6,26,47,3
Ramanagara,Murder,2023,2,1,1,0,1,1,1,1,0
Chikkaballapura,Murder,2023,0,0,0,0,0,0,0,0,0
Uttara Kannada,Murder,2023,6,2,4,0,4,2,3,3,1
Shimoga,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Vijayapura,Murder,2023,2,1,1,0,1,1,1,1,0
Udupi,Domestic Violence,2023,57,17,40,7,43,7,17,40,7
Shimoga,Kidnapping,2023,3,1,2,0,2,1,1,2,0
Shivamogga,Cyber Crime,2023,45,31,14,3,34,8,19,26,8
Ramanagara,Domestic Violence,2023,77,23,54,9,63,5,58,19,27
Kalaburagi,Molestation,2023,19,12,7,3,14,2,8,11,3
Dharwad,Kidnapping,2023,11,5,6,1,7,3,3,8,0
Dharwad,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Uttara Kannada,Murder,2023,1,0,1,0,0,1,0,1,0
Chamarajanagar,Cheating,2023,86,47,39,3,52,31,70,16,9
Mandya,Molestation,2023,17,7,10,1,13,3,5,12,1
Bagalkot,Domestic Violence,2023,58,34,24,5,42,11,21,37,2
Mandya,Dowry Death,2023,2,1,1,0,1,1,1,1,0
Vijayanagar,Molestation,2023,17,11,6,1,12,4,8,9,2
Chikkamagaluru,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Ramanagara,Molestation,2023,21,7,14,3,17,1,8,13,3
Raichur,Domestic Violence,2023,73,23,50,8,60,5,50,23,21
Shivamogga,Domestic Violence,2023,64,41,23,9,50,5,51,13,11
Bengaluru Urban,Theft,2023,110,69,41,7,70,33,44,66,3
Yadgir,Molestation,2023,22,10,12,1,16,5,14,8,1
Chikkamagaluru,Theft,2023,133,67,66,5,98,30,88,45,34
Bidar,Cyber Crime,2023,52,21,31,7,44,1,43,9,5
Koppal,Cyber Crime,2023,56,19,37,7,46,3,20,36,9
Tumakuru,Robbery,2023,16,8,8,0,13,3,7,9,2
Mangaluru,Cheating,2023,91,34,57,7,73,11,61,30,15
Kalaburagi,Kidnapping,2023,2,0,2,0,1,1,1,1,0
Bagalkot,Cheating,2023,86,47,39,10,67,9,60,26,13
Koppal,Molestation,2023,24,7,17,3,16,5,8,16,2
Shivamogga,Theft,2023,111,41,70,5,80,26,83,28,23
Hassan,Robbery,2023,10,3,7,0,7,3,5,5,1
Ballari,Theft,2023,171,63,108,19,133,19,43,128,11
Chikkaballapura,Domestic Violence,2023,54,24,30,9,40,5,43,11,5
Ramanagara,Cyber Crime,2023,59,19,40,2,38,19,25,34,3
Mysuru,Kidnapping,2023,3,1,2,0,2,1,2,1,0
Mysuru,Rape,2023,32,11,21,1,20,11,15,17,2
Belagavi,Dowry Death,2023,4,1,3,0,2,2,3,1,1
Mangaluru,Rape,2023,41,28,13,4,26,11,14,27,6
Hubballi,Murder,2023,6,2,4,0,3,3,4,2,1
Kalaburagi,Domestic Violence,2023,61,39,22,12,43,6,49,12,14
Vijayapura,Dowry Death,2023,9,4,5,1,6,2,2,7,0
Ramanagara,Rape,2023,47,17,30,6,33,8,22,25,9
Haveri,Cyber Crime,2023,98,32,66,10,65,23,78,20,17
Mysuru,Cyber Crime,2023,60,40,20,2,38,20,52,8,19
Chitradurga,Domestic Violence,2023,77,23,54,6,49,22,65,12,32
Vijayanagar,Murder,2023,3,1,2,0,2,1,2,1,0
Chikkamagaluru,Robbery,2023,8,3,5,1,6,1,2,6,0
Bengaluru Urban,Kidnapping,2023,2,0,2,0,1,1,1,1,0
Bengaluru Urban,Robbery,2023,9,4,5,1,5,3,2,7,0
Dharwad,Murder,2023,1,0,1,0,0,1,0,1,0
Mysuru,Domestic Violence,2023,59,25,34,6,46,7,24,35,2
Ballari,Robbery,2023,16,5,11,0,10,6,9,7,2
Shivamogga,Dowry Death,2023,8,2,6,1,5,2,3,5,1
Kolar,Cheating,2023,80,43,37,4,51,25,63,17,4
Kalaburagi,Domestic Violence,2023,51,33,18,7,42,2,28,23,12
Yadgir,Rape,2023,39,19,20,2,24,13,10,29,3
Vijayanagar,Dowry Death,2023,4,1,3,0,2,2,2,2,0
Kodagu,Molestation,2023,28,19,9,2,18,8,22,6,2
Chamarajanagar,Robbery,2023,21,7,14,0,17,4,16,5,1
Mangaluru,Cheating,2023,95,59,36,5,62,28,40,55,8
Koppal,Dowry Death,2023,8,2,6,0,6,2,4,4,1
Shivamogga,Dowry Death,2023,6,1,5,0,4,2,4,2,0
Dharwad,Molestation,2023,22,11,11,4,17,1,17,5,8
Chamarajanagar,Rape,2023,40,27,13,4,31,5,13,27,3
Shivamogga,Cyber Crime,2023,55,38,17,7,38,10,33,22,14
Ballari,Domestic Violence,2023,71,39,32,8,51,12,56,15,19
Yadgir,Cheating,2023,101,31,70,10,60,31,55,46,18
Shivamogga,Rape,2023,30,10,20,4,21,5,16,14,3
Chamarajanagar,Molestation,2023,33,20,13,1,26,6,13,20,4
Haveri,Murder,2023,4,2,2,0,3,1,3,1,0
Mangaluru,Cheating,2023,70,35,35,3,54,13,39,31,9
Davangere,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Chamarajanagar2,Rape,2023,49,31,18,7,39,3,18,31,6
Koppal,Cyber Crime,2023,58,23,35,4,44,10,25,33,11
Udupi,Domestic Violence,2023,73,30,43,8,55,10,22,51,7
Tumakuru,Rape,2023,41,28,13,7,30,4,27,14,10
Chamarajanagar,Robbery,2023,8,2,6,1,5,2,2,6,0
Yadgir,Molestation,2023,24,11,13,4,18,2,17,7,6
Raichur,Kidnapping,2023,2,1,1,0,1,1,0,2,0
Belagavi,Robbery,2023,15,5,10,2,12,1,9,6,2
Udupi,Cyber Crime,2023,82,53,29,8,64,10,21,61,4
Ballari,Cyber Crime,2023,67,46,21,5,49,13,44,23,14
Udupi,Molestation,2023,27,15,12,2,16,9,23,4,10
Chamarajanagar2,Cyber Crime,2023,79,26,53,14,60,5,42,37,2
Bagalkot,Murder,2023,3,1,2,0,2,1,2,1,0
Udupi,Dowry Death,2023,8,3,5,1,5,2,6,2,0
Kodagu,Rape,2023,41,28,13,6,29,6,31,10,12
Kolar,Robbery,2023,18,11,7,2,11,5,8,10,0
Hassan,Domestic Violence,2023,55,32,23,9,37,9,23,32,7
Bengaluru Urban,Theft,2023,96,35,61,9,66,21,52,44,18
Shimoga,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Mangaluru,Rape,2023,35,21,14,6,24,5,30,5,6
Belagavi,Kidnapping,2023,4,2,2,0,2,2,2,2,0
Yadgir,Domestic Violence,2023,89,44,45,15,69,5,69,20,34
Hassan,Murder,2023,10,4,6,0,7,3,6,4,1
Mangaluru,Molestation,2023,27,16,11,1,21,5,19,8,5
Chikkaballapura,Cyber Crime,2023,47,30,17,5,28,14,26,21,3
Chamarajanagar2,Cheating,2023,91,57,34,6,57,28,30,61,14
Gadag,Dowry Death,2023,14,7,7,2,11,1,12,2,5
Vijayanagar,Theft,2023,172,92,80,27,112,33,115,57,13
Kolar,Rape,2023,29,13,16,0,24,5,18,11,8
Hassan,Rape,2023,26,10,16,3,21,2,10,16,3
Ramanagara,Rape,2023,34,14,20,3,25,6,21,13,9
Chamarajanagar,Robbery,2023,21,13,8,3,14,4,5,16,0
Bengaluru Rural,Rape,2023,35,20,15,6,27,2,31,4,6
Kodagu,Theft,2023,123,76,47,8,104,11,33,90,5
Kalaburagi,Cyber Crime,2023,50,17,33,8,41,1,37,13,14
Bagalkot,Murder,2023,6,3,3,1,4,1,4,2,0
Udupi,Cheating,2023,97,55,42,18,59,20,53,44,17
Yadgir,Murder,2023,5,2,3,0,3,2,2,3,0
Kolar,Murder,2023,1,0,1,0,0,1,0,1,0
Vijayapura,Domestic Violence,2023,75,43,32,13,55,7,23,52,5
Shimoga,Kidnapping,2023,4,2,2,0,2,2,1,3,0
Mangaluru,Domestic Violence,2023,87,46,41,17,55,15,41,46,12
Vijayanagar,Domestic Violence,2023,78,24,54,13,66,0,35,43,13
Bidar,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Udupi,Dowry Death,2023,5,2,3,0,3,2,3,2,1
Chikkaballapura,Rape,2023,30,9,21,4,24,2,12,18,5
Koppal,Dowry Death,2023,6,4,2,0,4,2,2,4,0
Shivamogga,Molestation,2023,36,22,14,5,30,1,32,4,12
Mysuru,Kidnapping,2023,10,3,7,1,6,3,8,2,3
Raichur,Theft,2023,146,50,96,15,90,41,92,54,43
Kolar,Domestic Violence,2023,89,61,28,10,62,17,76,13,4
Raichur,Robbery,2023,20,8,12,0,15,5,14,6,3
Chitradurga,Cheating,2023,78,26,52,6,54,18,27,51,11
Mangaluru,Rape,2023,48,23,25,5,38,5,17,31,4
Ballari,Molestation,2023,34,17,17,6,25,3,14,20,5
Shimoga,Cheating,2023,75,27,48,7,49,19,50,25,14
Chikkamagaluru,Rape,2023,32,18,14,2,25,5,12,20,1
Hubballi,Murder,2023,0,0,0,0,0,0,0,0,0
Kolar,Murder,2023,3,1,2,0,1,2,1,2,0
Davangere,Cheating,2023,120,72,48,14,92,14,38,82,15
Raichur,Robbery,2023,24,7,17,2,17,5,16,8,4
Davangere,Molestation,2023,12,3,9,2,9,1,6,6,0
Udupi,Theft,2023,125,40,85,17,91,17,90,35,29
Kalaburagi,Cyber Crime,2023,48,22,26,6,33,9,28,20,11
Hassan,Domestic Violence,2023,52,30,22,9,36,7,38,14,3
Chamarajanagar2,Cyber Crime,2023,62,24,38,4,51,7,15,47,7
Gadag,Cheating,2023,103,49,54,6,74,23,89,14,31
Bidar,Domestic Violence,2023,76,36,40,10,49,17,47,29,17
Bengaluru Rural,Molestation,2023,21,10,11,3,16,2,7,14,3
Chitradurga,Domestic Violence,2023,66,40,26,12,44,10,24,42,6
Bengaluru Urban,Kidnapping,2023,6,3,3,0,4,2,2,4,0
Mandya,Kidnapping,2023,11,3,8,1,7,3,4,7,1
Shivamogga,Dowry Death,2023,8,3,5,0,6,2,3,5,0
Kodagu,Domestic Violence,2023,93,37,56,11,65,17,53,40,22
Vijayanagar,Domestic Violence,2023,89,48,41,5,69,15,23,66,5
Uttara Kannada,Murder,2023,2,0,2,0,1,1,1,1,0
Chamarajanagar,Kidnapping,2023,2,0,2,0,1,1,1,1,0
Kolar,Molestation,2023,25,10,15,3,16,6,22,3,7
Chamarajanagar2,Cheating,2023,100,66,34,11,66,23,73,27,4
Yadgir,Murder,2023,5,2,3,0,4,1,3,2,0
Vijayanagar,Theft,2023,153,83,70,7,101,45,86,67,39
Uttara Kannada,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Shivamogga,Dowry Death,2023,8,4,4,0,6,2,5,3,0
Vijayapura,Kidnapping,2023,3,1,2,0,2,1,2,1,0
Yadgir,Dowry Death,2023,5,2,3,0,3,2,3,2,0
RuralAreaX,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Bidar,Murder,2023,0,0,0,0,0,0,0,0,0
Chamarajanagar2,Murder,2023,8,2,6,0,5,3,5,3,2
Dharwad,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Ballari,Kidnapping,2023,2,0,2,0,1,1,0,2,0
Bidar,Molestation,2023,25,11,14,2,20,3,14,11,6
Bagalkot,Cheating,2023,69,47,22,3,54,12,35,34,6
Hassan,Kidnapping,2023,8,2,6,1,6,1,2,6,0
Ballari,Robbery,2023,21,6,15,3,15,3,9,12,3
Raichur,Molestation,2023,25,11,14,1,19,5,10,15,2
Dharwad,Kidnapping,2023,7,4,3,1,4,2,3,4,0
Yadgir,Cyber Crime,2023,67,27,40,2,50,15,47,20,6
Bengaluru Rural,Cyber Crime,2023,52,29,23,7,35,10,26,26,6
Vijayapura,Kidnapping,2023,2,0,2,0,1,1,1,1,0
Bagalkot,Dowry Death,2023,2,1,1,0,1,1,1,1,0
Yadgir,Murder,2023,8,4,4,0,5,3,7,1,2
Davangere,Theft,2023,116,54,62,22,69,25,52,64,15
Uttara Kannada,Kidnapping,2023,6,1,5,0,4,2,5,1,0
Vijayanagar,Cyber Crime,2023,72,42,30,3,43,26,25,47,5
Kalaburagi,Cyber Crime,2023,51,15,36,5,35,11,28,23,6
Bidar,Molestation,2023,24,8,16,1,15,8,13,11,2
Mysuru,Kidnapping,2023,10,5,5,1,6,3,4,6,1
Chikkamagaluru,Rape,2023,37,20,17,4,24,9,24,13,3
Shivamogga,Murder,2023,1,0,1,0,0,1,0,1,0
Raichur,Domestic Violence,2023,61,35,26,3,47,11,20,41,1
Chitradurga,Molestation,2023,29,14,15,0,18,11,18,11,7
Dharwad,Robbery,2023,17,10,7,1,10,6,6,11,1
Dharwad,Robbery,2023,20,10,10,2,14,4,15,5,3
Chikkaballapura,Molestation,2023,16,6,10,2,12,2,4,12,0
Vijayapura,Rape,2023,31,10,21,5,25,1,9,22,4
Kodagu,Robbery,2023,14,8,6,0,11,3,12,2,5
Mandya,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Mangaluru,Theft,2023,109,61,48,21,82,6,92,17,18
Chikkaballapura,Murder,2023,7,4,3,0,4,3,1,6,0
Mysuru,Molestation,2023,26,14,12,0,16,10,10,16,0
Vijayanagar,Theft,2023,139,80,59,16,84,39,52,87,18
Koppal,Cyber Crime,2023,38,26,12,7,29,2,21,17,7
Kodagu,Cheating,2023,95,37,58,14,57,24,31,64,6
Chamarajanagar,Cheating,2023,109,51,58,6,89,14,64,45,18
Ramanagara,Rape,2023,36,21,15,2,25,9,21,15,9
Shimoga,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Shimoga,Cyber Crime,2023,54,19,35,10,34,10,36,18,13
Mandya,Kidnapping,2023,5,3,2,0,3,2,3,2,0
Bengaluru Urban,Cheating,2023,85,45,40,15,63,7,42,43,2
RuralAreaX,Cyber Crime,2023,54,32,22,8,34,12,26,28,3
Mangaluru,Cheating,2023,89,35,54,17,68,4,48,41,21
Chikkaballapura,Theft,2023,132,83,49,12,103,17,88,44,25
Haveri,Dowry Death,2023,10,6,4,0,7,3,2,8,0
Kodagu,Domestic Violence,2023,86,57,29,15,66,5,27,59,5
Kodagu,Domestic Violence,2023,79,47,32,10,55,14,54,25,8
Dharwad,Robbery,2023,12,6,6,0,8,4,9,3,3
Gadag,Theft,2023,121,57,64,13,78,30,82,39,13
Dharwad,Rape,2023,33,15,18,6,22,5,21,12,5
Yadgir,Murder,2023,6,3,3,1,4,1,1,5,0
Yadgir,Cheating,2023,109,61,48,18,76,15,53,56,16
Bengaluru Urban,Dowry Death,2023,15,8,7,2,12,1,12,3,1
Bagalkot,Robbery,2023,4,2,2,0,3,1,3,1,0
Dharwad,Kidnapping,2023,5,3,2,0,4,1,1,4,0
Chamarajanagar2,Molestation,2023,18,9,9,1,12,5,15,3,4
Kolar,Cyber Crime,2023,57,26,31,1,39,17,29,28,11
Udupi,Rape,2023,37,11,26,5,28,4,21,16,8
Mandya,Murder,2023,0,0,0,0,0,0,0,0,0
Hassan,Theft,2023,119,65,54,14,86,19,39,80,6
Kodagu,Rape,2023,48,16,32,2,39,7,37,11,5
Vijayanagar,Cheating,2023,96,66,30,8,72,16,73,23,35
Davangere,Robbery,2023,10,5,5,0,6,4,5,5,1
Shivamogga,Robbery,2023,18,6,12,2,12,4,10,8,0
Hubballi,Dowry Death,2023,8,3,5,1,5,2,3,5,1
Vijayanagar,Robbery,2023,14,9,5,1,11,2,11,3,5
Ramanagara,Rape,2023,34,22,12,2,25,7,11,23,4
Mangaluru,Cyber Crime,2023,89,45,44,16,57,16,74,15,22
Bagalkot,Rape,2023,44,16,28,8,28,8,34,10,3
Tumakuru,Murder,2023,6,2,4,0,3,3,4,2,1
Koppal,Dowry Death,2023,9,3,6,0,6,3,3,6,1
Mangaluru,Robbery,2023,16,7,9,0,11,5,4,12,0
Hassan,Cheating,2023,83,47,36,14,69,0,59,24,23
Mysuru,Dowry Death,2023,8,5,3,0,5,3,4,4,0
Haveri,Cheating,2023,124,66,58,10,88,26,100,24,13
Chikkamagaluru,Domestic Violence,2023,59,26,33,2,36,21,43,16,6
Bidar,Robbery,2023,21,13,8,2,13,6,6,15,2
Gadag,Cheating,2023,85,59,26,8,71,6,48,37,6
Hassan,Robbery,2023,17,8,9,2,11,4,12,5,4
Bengaluru Urban,Murder,2023,0,0,0,0,0,0,0,0,0
RuralAreaX,Kidnapping,2023,2,1,1,0,1,1,0,2,0
Mangaluru,Cheating,2023,91,34,57,12,73,6,24,67,11
Vijayapura,Cyber Crime,2023,61,30,31,8,37,16,20,41,6
Hubballi,Molestation,2023,22,12,10,1,16,5,5,17,1
Tumakuru,Murder,2023,1,0,1,0,0,1,0,1,0
Raichur,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Tumakuru,Robbery,2023,16,6,10,2,11,3,13,3,5
Bengaluru Urban,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Udupi,Rape,2023,28,16,12,2,22,4,9,19,3
Gadag,Cheating,2023,77,30,47,6,59,12,66,11,32
Ballari,Cheating,2023,90,28,62,11,74,5,24,66,3
Belagavi,Domestic Violence,2023,75,47,28,13,54,8,53,22,21
Raichur,Cyber Crime,2023,75,49,26,6,52,17,58,17,10
Chikkamagaluru,Murder,2023,4,1,3,0,2,2,2,2,0
Chamarajanagar,Murder,2023,6,4,2,0,4,2,3,3,0
Raichur,Cyber Crime,2023,71,43,28,6,45,20,43,28,19
Shimoga,Molestation,2023,15,6,9,1,10,4,11,4,1
Mysuru,Kidnapping,2023,7,2,5,0,5,2,2,5,0
Gadag,Kidnapping,2023,4,1,3,0,2,2,1,3,0
Chitradurga,Cheating,2023,78,44,34,13,64,1,56,22,21
Bagalkot,Murder,2023,3,1,2,0,1,2,2,1,0
Vijayanagar,Domestic Violence,2023,69,38,31,4,55,10,24,45,4
Vijayanagar,Domestic Violence,2023,103,48,55,7,86,10,81,22,13
Hubballi,Cheating,2023,84,44,40,3,60,21,31,53,9
Mysuru,Kidnapping,2023,11,6,5,1,8,2,6,5,0
Ballari,Molestation,2023,26,17,9,3,20,3,20,6,3
