District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
Kalaburagi,Cyber Crime,2024,61,31,30,3,37,21,21,40,7
Kalaburagi,Robbery,2024,14,8,6,1,10,3,9,5,2
Ramanagara,Domestic Violence,2024,65,21,44,6,51,8,53,12,18
Ballari,Domestic Violence,2024,78,34,44,5,47,26,34,44,16
Haveri,Domestic Violence,2024,82,43,39,9,68,5,45,37,11
Chamarajanagar,Kidnapping,2024,8,2,6,1,5,2,4,4,1
RuralAreaX,Kidnapping,2024,5,1,4,0,3,2,4,1,0
Uttara Kannada,Kidnapping,2024,5,2,3,0,3,2,3,2,0
Bidar,Murder,2024,0,0,0,0,0,0,0,0,0
Chikkamagaluru,Cheating,2024,92,50,42,4,76,12,69,23,4
Chikkamagaluru,Cheating,2024,79,48,31,10,51,18,21,58,1
Mangaluru,Domestic Violence,2024,66,35,31,4,50,12,24,42,11
Mysuru,Theft,2024,105,42,63,12,75,18,90,15,33
Udupi,Cyber Crime,2024,40,15,25,6,28,6,17,23,7
Mangaluru,Cheating,2024,81,46,35,4,67,10,34,47,8
Vijayapura,Molestation,2024,18,6,12,1,11,6,7,11,1
Hubballi,Kidnapping,2024,8,3,5,1,5,2,6,2,0
Mysuru,Murder,2024,10,6,4,1,6,3,5,5,1
Mandya,Robbery,2024,17,11,6,2,13,2,8,9,3
Vijayanagar,Cheating,2024,107,55,52,5,73,29,68,39,8
Bagalkot,Cheating,2024,79,54,25,10,56,13,68,11,33
Belagavi,Robbery,2024,24,15,9,3,19,2,7,17,2
Davangere,Rape,2024,40,22,18,1,32,7,27,13,7
Dharwad,Robbery,2024,13,6,7,2,9,2,10,3,0
Tumakuru,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Chikkamagaluru,Rape,2024,30,19,11,2,18,10,16,14,6
Mangaluru,Robbery,2024,22,7,15,2,15,5,17,5,5
Kodagu,Murder,2024,8,4,4,0,6,2,4,4,1
Chitradurga,Kidnapping,2024,7,3,4,0,5,2,3,4,0
Mangaluru,Cyber Crime,2024,66,40,26,2,54,10,19,47,6
Bengaluru Urban,Rape,2024,32,12,20,3,25,4,20,12,8
Bagalkot,Murder,2024,7,4,3,0,5,2,3,4,0
Kodagu,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Kalaburagi,Cheating,2024,93,40,53,17,57,19,39,54,5
Bengaluru Urban,Rape,2024,31,21,10,1,25,5,26,5,11
Kolar,Molestation,2024,30,11,19,3,22,5,11,19,3
Udupi,Cyber Crime,2024,76,35,41,13,46,17,53,23,24
Chitradurga,Cheating,2024,72,38,34,12,53,7,20,52,2
Mangaluru,Murder,2024,10,6,4,1,8,1,2,8,0
Chitradurga,Domestic Violence,2024,73,37,36,6,60,7,20,53,5
Ramanagara,Kidnapping,2024,9,3,6,1,5,3,6,3,2
Dharwad,Kidnapping,2024,3,2,1,0,2,1,2,1,0
Chikkamagaluru,Murder,2024,1,0,1,0,0,1,0,1,0
Mandya,Domestic Violence,2024,85,49,36,8,57,20,47,38,13
Vijayanagar,Robbery,2024,22,8,14,1,14,7,9,13,3
Koppal,Robbery,2024,6,3,3,0,4,2,2,4,0
Vijayapura,Cheating,2024,74,49,25,7,53,14,28,46,13
Vijayapura,Kidnapping,2024,5,2,3,0,4,1,4,1,0
Dharwad,Rape,2024,32,14,18,1,23,8,13,19,5
Shimoga,Murder,2024,7,2,5,0,5,2,3,4,0
Shimoga,Cheating,2024,104,50,54,9,63,32,49,55,23
Vijayanagar,Molestation,2024,25,13,12,1,17,7,17,8,7
Bidar,Murder,2024,2,1,1,0,1,1,1,1,0
Bidar,Molestation,2024,20,8,12,3,16,1,10,10,2
Tumakuru,Kidnapping,2024,12,7,5,0,7,5,7,5,3
Uttara Kannada,Robbery,2024,16,10,6,2,11,3,11,5,1
Chitradurga,Molestation,2024,23,10,13,3,18,2,15,8,5
Belagavi,Cheating,2024,113,61,52,6,75,32,40,73,14
Vijayanagar,Rape,2024,38,13,25,4,29,5,14,24,2
Tumakuru,Domestic Violence,2024,74,24,50,13,55,6,29,45,1
Bidar,Domestic Violence,2024,49,28,21,6,34,9,29,20,6
Chamarajanagar2,Domestic Violence,2024,74,48,26,12,54,8,50,24,9
Hassan,Molestation,2024,21,9,12,1,14,6,13,8,1
Bengaluru Urban,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Mangaluru,Rape,2024,43,22,21,1,33,9,36,7,5
Vijayanagar,Domestic Violence,2024,73,40,33,5,58,10,47,26,15
Chamarajanagar,Murder,2024,5,1,4,0,3,2,2,3,0
Bengaluru Rural,Molestation,2024,15,9,6,0,12,3,10,5,4
Gadag,Molestation,2024,25,14,11,1,20,4,12,13,2
Mandya,Cyber Crime,2024,64,32,32,12,52,0,36,28,2
Chamarajanagar,Kidnapping,2024,7,4,3,0,5,2,5,2,2
Ballari,Theft,2024,134,54,80,21,107,6,117,17,24
RuralAreaX,Molestation,2024,35,23,12,3,26,6,21,14,6
Hubballi,Murder,2024,0,0,0,0,0,0,0,0,0
Chikkamagaluru,Cyber Crime,2024,45,17,28,2,30,13,14,31,5
Mysuru,Cheating,2024,86,45,41,6,71,9,24,62,1
Bengaluru Rural,Domestic Violence,2024,45,29,16,4,28,13,15,30,3
Kalaburagi,Cyber Crime,2024,49,17,32,4,36,9,17,32,4
Bidar,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Hubballi,Murder,2024,2,1,1,0,1,1,0,2,0
Shimoga,Murder,2024,7,3,4,1,5,1,5,2,2
RuralAreaX,Cheating,2024,104,55,49,8,63,33,76,28,17
Ballari,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Tumakuru,Murder,2024,5,1,4,0,3,2,2,3,0
Bengaluru Urban,Cheating,2024,80,47,33,12,58,10,34,46,13
Chitradurga,Theft,2024,118,54,64,6,100,12,44,74,10
Chamarajanagar,Cyber Crime,2024,65,35,30,5,48,12,45,20,4
Kolar,Molestation,2024,28,14,14,4,23,1,21,7,8
Vijayanagar,Theft,2024,167,113,54,20,114,33,102,65,35
Bengaluru Rural,Cheating,2024,100,61,39,9,68,23,46,54,17
Vijayanagar,Murder,2024,2,0,2,0,1,1,1,1,0
Kalaburagi,Cheating,2024,73,26,47,9,51,13,36,37,15
Raichur,Rape,2024,40,20,20,1,24,15,20,20,3
Haveri,Theft,2024,123,51,72,7,85,31,102,21,31
Mangaluru,Rape,2024,34,10,24,4,22,8,20,14,7
Bengaluru Urban,Rape,2024,35,18,17,1,21,13,27,8,5
Hubballi,Molestation,2024,24,11,13,4,18,2,11,13,0
Bengaluru Urban,Cyber Crime,2024,62,29,33,2,44,16,49,13,12
Hassan,Cheating,2024,72,45,27,13,54,5,18,54,0
Chamarajanagar,Theft,2024,130,55,75,15,91,24,88,42,8
Bagalkot,Robbery,2024,13,7,6,2,9,2,7,6,1
Vijayanagar,Cheating,2024,100,40,60,8,68,24,59,41,3
Mangaluru,Murder,2024,4,2,2,0,2,2,1,3,0
Udupi,Robbery,2024,19,11,8,3,13,3,12,7,4
Uttara Kannada,Theft,2024,92,50,42,15,65,12,28,64,10
Yadgir,Cheating,2024,97,53,44,11,76,10,80,17,13
Mangaluru,Theft,2024,129,71,58,5,95,29,40,89,5
Uttara Kannada,Cheating,2024,66,36,30,8,41,17,53,13,9
Ballari,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Kalaburagi,Robbery,2024,19,12,7,3,12,4,9,10,1
Bengaluru Urban,Theft,2024,107,39,68,13,67,27,71,36,25
Shimoga,Cheating,2024,92,56,36,5,68,19,53,39,11
Chikkamagaluru,Theft,2024,106,40,66,6,72,28,56,50,18
Kodagu,Molestation,2024,24,12,12,1,16,7,10,14,1
Ramanagara,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Bagalkot,Kidnapping,2024,11,3,8,1,8,2,4,7,1
Chamarajanagar,Kidnapping,2024,8,4,4,0,6,2,7,1,3
Bagalkot,Dowry Death,2024,11,4,7,1,7,3,3,8,0
Koppal,Domestic Violence,2024,78,26,52,6,64,8,23,55,9
Davangere,Murder,2024,3,1,2,0,2,1,2,1,0
Bengaluru Urban,Robbery,2024,13,8,5,0,7,6,9,4,0
Kalaburagi,Domestic Violence,2024,62,38,24,5,52,5,30,32,9
Vijayanagar,Cheating,2024,92,50,42,14,64,14,50,42,8
Chikkaballapura,Murder,2024,6,3,3,0,4,2,2,4,0
Bengaluru Rural,Murder,2024,7,3,4,0,5,2,5,2,1
Bengaluru Urban,Cyber Crime,2024,48,31,17,4,33,11,25,23,2
Shimoga,Theft,2024,134,50,84,16,96,22,41,93,3
Chamarajanagar,Cheating,2024,103,65,38,3,68,32,60,43,6
Vijayapura,Dowry Death,2024,6,3,3,0,4,2,1,5,0
Vijayanagar,Cyber Crime,2024,78,40,38,8,47,23,59,19,21
Mandya,Dowry Death,2024,2,1,1,0,1,1,1,1,0
Raichur,Murder,2024,1,0,1,0,0,1,0,1,0
Raichur,Murder,2024,7,2,5,1,5,1,4,3,1
Kodagu,Theft,2024,150,86,64,23,119,8,52,98,8
Vijayapura,Dowry Death,2024,9,5,4,1,7,1,4,5,1
Ballari,Cyber Crime,2024,79,35,44,10,60,9,47,32,2
Ramanagara,Rape,2024,45,14,31,5,33,7,30,15,9
Shimoga,Cyber Crime,2024,49,20,29,9,38,2,30,19,3
Dharwad,Cyber Crime,2024,60,35,25,9,50,1,22,38,3
Mysuru,Cheating,2024,92,48,44,9,65,18,34,58,5
Uttara Kannada,Theft,2024,107,38,69,17,84,6,88,19,40
Yadgir,Robbery,2024,13,4,9,1,10,2,11,2,4
Tumakuru,Molestation,2024,35,22,13,4,24,7,17,18,3
Kalaburagi,Molestation,2024,15,7,8,1,10,4,7,8,1
Haveri,Murder,2024,10,6,4,1,7,2,7,3,1
Shimoga,Cyber Crime,2024,50,23,27,9,36,5,23,27,2
Uttara Kannada,Rape,2024,34,13,21,4,26,4,12,22,2
Chamarajanagar2,Molestation,2024,17,10,7,2,12,3,14,3,5
Bidar,Kidnapping,2024,9,3,6,1,6,2,7,2,3
Vijayapura,Cheating,2024,76,50,26,4,50,22,64,12,22
Vijayapura,Rape,2024,28,17,11,1,19,8,19,9,7
Vijayapura,Kidnapping,2024,9,3,6,1,6,2,3,6,0
Shimoga,Rape,2024,35,12,23,5,25,5,27,8,4
Hassan,Theft,2024,110,71,39,4,71,35,92,18,32
Belagavi,Murder,2024,9,5,4,1,5,3,7,2,0
Mandya,Robbery,2024,21,12,9,1,16,4,13,8,3
Shivamogga,Kidnapping,2024,6,3,3,0,4,2,3,3,0
Chikkaballapura,Domestic Violence,2024,59,31,28,6,44,9,43,16,5
Shimoga,Kidnapping,2024,3,1,2,0,1,2,2,1,0
Kodagu,Robbery,2024,23,7,16,1,15,7,17,6,3
Bengaluru Urban,Kidnapping,2024,1,0,1,0,0,1,0,1,0
Chamarajanagar2,Theft,2024,135,51,84,6,102,27,51,84,7
Chitradurga,Domestic Violence,2024,72,38,34,4,58,10,19,53,2
Bengaluru Urban,Theft,2024,104,69,35,11,82,11,87,17,9
Tumakuru,Theft,2024,143,69,74,27,96,20,77,66,10
Kodagu,Domestic Violence,2024,69,30,39,3,44,22,52,17,16
RuralAreaX,Kidnapping,2024,4,2,2,0,2,2,2,2,0
Kolar,Theft,2024,117,55,62,15,73,29,73,44,6
Mangaluru,Cheating,2024,93,33,60,9,62,22,35,58,14
Vijayapura,Theft,2024,112,68,44,21,74,17,86,26,12
RuralAreaX,Rape,2024,40,16,24,7,24,9,20,20,4
Hubballi,Molestation,2024,18,8,10,2,10,6,5,13,1
Mangaluru,Rape,2024,27,8,19,4,22,1,15,12,2
Vijayapura,Robbery,2024,13,7,6,1,9,3,6,7,1
Hassan,Cheating,2024,82,43,39,8,62,12,29,53,13
Bengaluru Urban,Molestation,2024,29,18,11,3,22,4,23,6,1
Yadgir,Molestation,2024,27,13,14,3,20,4,20,7,5
Koppal,Molestation,2024,27,13,14,2,21,4,13,14,5
Yadgir,Robbery,2024,18,6,12,2,12,4,14,4,3
Chikkamagaluru,Molestation,2024,12,7,5,1,8,3,9,3,0
Dharwad,Dowry Death,2024,0,0,0,0,0,0,0,0,0
Kodagu,Dowry Death,2024,9,4,5,0,7,2,4,5,1
Hubballi,Kidnapping,2024,8,5,3,1,5,2,3,5,1
Belagavi,Molestation,2024,31,17,14,6,19,6,14,17,4
Bagalkot,Dowry Death,2024,2,1,1,0,1,1,0,2,0
Chitradurga,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Belagavi,Murder,2024,8,2,6,1,5,2,5,3,1
Chamarajanagar,Cheating,2024,89,34,55,7,67,15,24,65,11
Uttara Kannada,Murder,2024,3,2,1,0,2,1,2,1,0
Raichur,Domestic Violence,2024,84,43,41,14,50,20,53,31,21
Haveri,Molestation,2024,18,11,7,2,14,2,13,5,6
Bengaluru Rural,Robbery,2024,13,8,5,2,9,2,5,8,0
Uttara Kannada,Rape,2024,27,14,13,3,18,6,14,13,6
Dharwad,Domestic Violence,2024,74,43,31,10,55,9,66,8,28
Haveri,Cheating,2024,120,40,80,8,73,39,96,24,21
Mandya,Molestation,2024,15,10,5,2,12,1,9,6,2
Mandya,Murder,2024,4,1,3,0,2,2,3,1,0
Davangere,Robbery,2024,17,5,12,2,13,2,15,2,5
Chamarajanagar2,Cyber Crime,2024,69,48,21,7,42,20,56,13,25
Haveri,Kidnapping,2024,6,2,4,0,4,2,1,5,0
Tumakuru,Cyber Crime,2024,53,23,30,2,32,19,24,29,6
Dharwad,Rape,2024,38,23,15,4,24,10,13,25,2
Hassan,Rape,2024,32,19,13,4,22,6,22,10,3
Chitradurga,Rape,2024,30,17,13,4,24,2,15,15,1
Koppal,Molestation,2024,25,17,8,4,20,1,18,7,1
Koppal,Cyber Crime,2024,50,27,23,6,42,2,14,36,4
Ballari,Cyber Crime,2024,78,31,47,12,48,18,69,9,34
Vijayapura,Dowry Death,2024,2,0,2,0,1,1,1,1,0
Hubballi,Cheating,2024,104,35,69,19,62,23,73,31,6
Chikkaballapura,Molestation,2024,17,9,8,2,13,2,5,12,1
Kalaburagi,Murder,2024,2,0,2,0,1,1,0,2,0
Yadgir,Kidnapping,2024,6,3,3,0,3,3,4,2,1
Shimoga,Rape,2024,36,11,25,4,22,10,21,15,4
RuralAreaX,Molestation,2024,34,15,19,2,28,4,19,15,9
RuralAreaX,Molestation,2024,20,11,9,2,12,6,10,10,1
Hubballi,Domestic Violence,2024,66,39,27,8,49,9,16,50,5
Chamarajanagar,Cyber Crime,2024,69,48,21,4,45,20,26,43,9
Udupi,Molestation,2024,25,10,15,4,16,5,20,5,5
Kalaburagi,Cyber Crime,2024,43,21,22,5,35,3,37,6,9
Vijayapura,Robbery,2024,18,9,9,1,12,5,4,14,0
Chamarajanagar,Murder,2024,5,3,2,0,4,1,3,2,0
Chikkaballapura,Domestic Violence,2024,63,23,40,6,51,6,54,9,15
Bidar,Theft,2024,132,72,60,25,97,10,117,15,32
Vijayanagar,Robbery,2024,20,13,7,3,14,3,13,7,3
Chamarajanagar,Dowry Death,2024,9,3,6,1,5,3,5,4,1
Udupi,Robbery,2024,16,7,9,1,12,3,12,4,3
Hassan,Kidnapping,2024,9,4,5,0,7,2,6,3,2
Chikkamagaluru,Theft,2024,130,68,62,9,94,27,60,70,15
Davangere,Cheating,2024,107,50,57,14,68,25,84,23,27
Gadag,Cheating,2024,108,75,33,7,75,26,89,19,8
RuralAreaX,Dowry Death,2024,4,1,3,0,2,2,1,3,0
Bagalkot,Murder,2024,2,0,2,0,1,1,1,1,0
Tumakuru,Theft,2024,119,48,71,11,77,31,82,37,6
Bengaluru Urban,Molestation,2024,17,6,11,3,14,0,12,5,1
Kodagu,Robbery,2024,11,7,4,0,7,4,9,2,2
Haveri,Molestation,2024,35,23,12,5,25,5,17,18,4
Mangaluru,Rape,2024,29,16,13,3,24,2,23,6,1
Bengaluru Rural,Rape,2024,36,20,16,5,23,8,10,26,3
Chamarajanagar,Kidnapping,2024,2,1,1,0,1,1,0,2,0
Bidar,Robbery,2024,11,4,7,1,6,4,4,7,1
Kolar,Robbery,2024,15,5,10,0,10,5,8,7,1
Kalaburagi,Rape,2024,37,18,19,3,31,3,12,25,5
Kolar,Molestation,2024,25,8,17,3,21,1,21,4,1
Koppal,Murder,2024,2,0,2,0,1,1,0,2,0
Raichur,Cheating,2024,102,68,34,5,72,25,42,60,18
Mangaluru,Cyber Crime,2024,68,30,38,8,43,17,46,22,13
Bidar,Rape,2024,28,16,12,4,21,3,9,19,0
Uttara Kannada,Molestation,2024,22,14,8,1,17,4,5,17,0
Kalaburagi,Cheating,2024,55,36,19,8,44,3,46,9,6
Kalaburagi,Molestation,2024,19,12,7,3,15,1,12,7,1
Bengaluru Rural,Robbery,2024,16,5,11,2,11,3,9,7,1
Bengaluru Urban,Rape,2024,23,8,15,4,17,2,11,12,0
Koppal,Robbery,2024,24,15,9,2,17,5,19,5,9
Tumakuru,Domestic Violence,2024,72,35,37,10,46,16,40,32,17
Hubballi,Robbery,2024,15,8,7,1,12,2,12,3,4
Uttara Kannada,Dowry Death,2024,7,2,5,0,4,3,6,1,2
RuralAreaX,Dowry Death,2024,10,6,4,0,7,3,6,4,1
Shivamogga,Robbery,2024,3,1,2,0,2,1,2,1,0
Dharwad,Cyber Crime,2024,40,13,27,4,30,6,32,8,6
Bengaluru Rural,Robbery,2024,12,6,6,1,8,3,6,6,2
Tumakuru,Cheating,2024,87,36,51,10,66,11,67,20,7
Ballari,Robbery,2024,14,5,9,1,8,5,4,10,0
Udupi,Cheating,2024,122,55,67,17,85,20,61,61,26
Udupi,Domestic Violence,2024,81,33,48,4,60,17,39,42,3
Chikkamagaluru,Theft,2024,104,42,62,12,78,14,41,63,3
Ballari,Molestation,2024,28,13,15,5,20,3,24,4,11
Tumakuru,Kidnapping,2024,4,2,2,0,3,1,1,3,0
Bagalkot,Cyber Crime,2024,45,23,22,2,37,6,17,28,3
Yadgir,Molestation,2024,43,17,26,4,29,10,30,13,4
RuralAreaX,Cheating,2024,100,33,67,8,63,29,78,22,13
Chamarajanagar2,Domestic Violence,2024,76,29,47,7,52,17,44,32,2
Bagalkot,Robbery,2024,16,7,9,1,12,3,13,3,2
Yadgir,Cyber Crime,2024,65,34,31,5,48,12,24,41,4
Koppal,Rape,2024,32,14,18,1,23,8,24,8,7
Bengaluru Urban,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Shimoga,Theft,2024,109,46,63,6,66,37,41,68,8
Chamarajanagar2,Cheating,2024,96,47,49,11,64,21,78,18,29
Bidar,Cheating,2024,98,34,64,11,70,17,50,48,5
Bagalkot,Kidnapping,2024,2,1,1,0,1,1,1,1,0
Bidar,Dowry Death,2024,5,1,4,0,3,2,2,3,0
Udupi,Domestic Violence,2024,43,21,22,2,35,6,32,11,12
Vijayapura,Cyber Crime,2024,51,34,17,7,32,12,40,11,16
Belagavi,Rape,2024,52,16,36,4,38,10,20,32,5
Gadag,Dowry Death,2024,7,2,5,0,5,2,6,1,0
Koppal,Molestation,2024,25,12,13,4,20,1,16,9,2
Koppal,Kidnapping,2024,7,3,4,1,4,2,2,5,0
Udupi,Molestation,2024,24,16,8,1,14,9,8,16,2
Chitradurga,Domestic Violence,2024,61,37,24,3,43,15,37,24,6
Ramanagara,Domestic Violence,2024,75,44,31,13,46,16,43,32,3
Ramanagara,Molestation,2024,29,18,11,4,18,7,21,8,7
Kodagu,Cyber Crime,2024,74,28,46,12,53,9,39,35,9
Chamarajanagar2,Robbery,2024,13,4,9,2,10,1,6,7,0
Mangaluru,Cyber Crime,2024,71,48,23,7,57,7,61,10,6
Bagalkot,Robbery,2024,18,8,10,0,11,7,10,8,3
Kodagu,Kidnapping,2024,9,4,5,0,7,2,7,2,1
Uttara Kannada,Cheating,2024,80,31,49,8,48,24,24,56,4
Ramanagara,Cheating,2024,108,38,70,18,75,15,36,72,14
Tumakuru,Molestation,2024,23,14,9,2,17,4,18,5,7
Mysuru,Kidnapping,2024,6,3,3,0,4,2,2,4,0
Kolar,Theft,2024,126,58,68,9,77,40,79,47,24
Vijayanagar,Dowry Death,2024,5,3,2,0,4,1,2,3,0
Kodagu,Dowry Death,2024,2,0,2,0,1,1,1,1,0
RuralAreaX,Dowry Death,2024,7,3,4,0,5,2,4,3,0
Ballari,Molestation,2024,26,14,12,4,15,7,8,18,0
Mangaluru,Theft,2024,118,58,60,9,80,29,79,39,15
Hassan,Theft,2024,103,54,49,16,76,11,66,37,14
Yadgir,Cyber Crime,2024,82,43,39,7,57,18,38,44,18
Hassan,Robbery,2024,11,4,7,1,7,3,4,7,1
Haveri,Molestation,2024,19,12,7,2,12,5,14,5,5
Yadgir,Cheating,2024,135,73,62,8,87,40,107,28,34
Udupi,Kidnapping,2024,2,0,2,0,1,1,1,1,0
RuralAreaX,Molestation,2024,25,14,11,2,15,8,13,12,6
Belagavi,Rape,2024,47,19,28,5,35,7,31,16,13
Mangaluru,Kidnapping,2024,7,2,5,0,5,2,1,6,0
Chikkaballapura,Robbery,2024,10,4,6,1,6,3,7,3,2
Kolar,Dowry Death,2024,7,3,4,0,4,3,3,4,1
Mysuru,Murder,2024,3,1,2,0,2,1,1,2,0
Shivamogga,Molestation,2024,24,13,11,2,18,4,16,8,3
Chikkamagaluru,Dowry Death,2024,10,6,4,0,7,3,4,6,1
Koppal,Dowry Death,2024,14,6,8,1,8,5,10,4,2
Yadgir,Rape,2024,48,19,29,7,31,10,32,16,5
Shimoga,Dowry Death,2024,4,1,3,0,3,1,2,2,0
Bengaluru Rural,Domestic Violence,2024,61,27,34,5,49,7,52,9,20
Bidar,Murder,2024,7,4,3,0,5,2,5,2,0
Gadag,Theft,2024,140,87,53,25,110,5,43,97,8
Chikkaballapura,Rape,2024,40,17,23,1,28,11,31,9,9
Hubballi,Rape,2024,37,19,18,1,31,5,21,16,3
Yadgir,Cyber Crime,2024,62,23,39,11,52,0,43,19,7
Shivamogga,Kidnapping,2024,1,0,1,0,0,1,0,1,0
Shimoga,Kidnapping,2024,0,0,0,0,0,0,0,0,0
Bidar,Cheating,2024,78,28,50,10,47,21,62,16,12
Gadag,Theft,2024,110,54,56,8,73,29,38,72,18
Gadag,Dowry Death,2024,11,5,6,0,7,4,9,2,1
Belagavi,Robbery,2024,1,0,1,0,0,1,0,1,0
Haveri,Dowry Death,2024,7,3,4,0,4,3,2,5,0
Gadag,Domestic Violence,2024,75,39,36,4,51,20,44,31,20
Davangere,Kidnapping,2024,7,3,4,0,5,2,1,6,0
Ramanagara,Robbery,2024,14,8,6,1,11,2,5,9,1
Chikkaballapura,Rape,2024,37,18,19,6,29,2,11,26,1
Bidar,Robbery,2024,11,5,6,1,7,3,7,4,3
Ballari,Cyber Crime,2024,69,32,37,5,53,11,40,29,10
Chikkaballapura,Murder,2024,2,0,2,0,1,1,1,1,0
Vijayanagar,Dowry Death,2024,12,4,8,1,7,4,10,2,3
Yadgir,Dowry Death,2024,7,4,3,0,5,2,1,6,0
Mangaluru,Rape,2024,32,13,19,5,22,5,14,18,3
Kolar,Molestation,2024,24,8,16,2,19,3,12,12,5
Shivamogga,Cheating,2024,64,43,21,3,47,14,36,28,6
Yadgir,Theft,2024,140,88,52,23,102,15,38,102,14
Bengaluru Rural,Kidnapping,2024,3,1,2,0,2,1,1,2,0
Tumakuru,Cheating,2024,110,35,75,15,73,22,53,57,15
Shivamogga,Molestation,2024,14,5,9,2,10,2,5,9,1
Bengaluru Rural,Cheating,2024,88,56,32,6,61,21,75,13,36
Chikkaballapura,Rape,2024,30,12,18,3,20,7,23,7,11
Yadgir,Kidnapping,2024,4,2,2,0,3,1,3,1,0
Shimoga,Kidnapping,2024,5,1,4,0,3,2,3,2,0
RuralAreaX,Domestic Violence,2024,79,29,50,5,58,16,50,29,9
Ballari,Molestation,2024,31,20,11,3,24,4,19,12,8
Hubballi,Domestic Violence,2024,74,31,43,3,52,19,47,27,14
Mangaluru,Theft,2024,124,64,60,23,76,25,84,40,5
Tumakuru,Robbery,2024,16,6,10,2,13,1,13,3,3
Ramanagara,Rape,2024,29,19,10,1,20,8,22,7,8
Bagalkot,Kidnapping,2024,6,3,3,0,4,2,2,4,0
Chikkamagaluru,Cheating,2024,108,53,55,7,67,34,66,42,24
Shimoga,Cyber Crime,2024,52,30,22,9,41,2,37,15,7
Raichur,Dowry Death,2024,6,2,4,0,4,2,3,3,1
Tumakuru,Murder,2024,4,2,2,0,3,1,2,2,0
Hubballi,Murder,2024,0,0,0,0,0,0,0,0,0
Kolar,Cyber Crime,2024,56,17,39,9,36,11,15,41,7
Mysuru,Rape,2024,31,12,19,1,24,6,11,20,5
Mandya,Kidnapping,2024,7,3,4,1,4,2,3,4,0
Kalaburagi,Molestation,2024,24,9,15,3,15,6,14,10,2
Koppal,Dowry Death,2024,7,3,4,1,4,2,2,5,0
Koppal,Rape,2024,38,19,19,7,30,1,25,13,9
Bidar,Cyber Crime,2024,51,26,25,8,33,10,33,18,12
Mandya,Kidnapping,2024,7,4,3,0,4,3,4,3,0
Uttara Kannada,Dowry Death,2024,10,6,4,1,7,2,7,3,1
Udupi,Cyber Crime,2024,66,27,39,2,46,18,35,31,7
Bengaluru Rural,Dowry Death,2024,9,3,6,1,6,2,7,2,2
Ramanagara,Molestation,2024,13,7,6,0,10,3,4,9,1
Udupi,Cheating,2024,96,44,52,13,80,3,37,59,8
Bidar,Domestic Violence,2024,79,40,39,15,57,7,35,44,2
Mysuru,Cheating,2024,78,37,41,8,57,13,56,22,13
Vijayanagar,Cyber Crime,2024,71,42,29,2,56,13,22,49,4
Dharwad,Kidnapping,2024,3,2,1,0,1,2,2,1,0
Bidar,Murder,2024,5,1,4,0,3,2,4,1,0
Chikkaballapura,Molestation,2024,23,11,12,2,18,3,9,14,4
Belagavi,Dowry Death,2024,6,3,3,0,4,2,4,2,1
Belagavi,Molestation,2024,31,20,11,1,21,9,11,20,4
Kolar,Theft,2024,112,54,58,15,68,29,67,45,10
Ramanagara,Robbery,2024,13,6,7,2,8,3,6,7,0
Davangere,Kidnapping,2024,1,0,1,0,0,1,0,1,0
Dharwad,Murder,2024,1,0,1,0,0,1,0,1,0
Chamarajanagar2,Rape,2024,41,15,26,7,33,1,16,25,7
Yadgir,Dowry Death,2024,10,6,4,1,6,3,4,6,0
Bengaluru Urban,Robbery,2024,10,3,7,1,8,1,3,7,0
Hassan,Dowry Death,2024,10,3,7,0,7,3,4,6,1
Ballari,Cheating,2024,113,67,46,8,78,27,97,16,14
Kodagu,Rape,2024,47,25,22,1,38,8,22,25,6
Chamarajanagar2,Rape,2024,43,29,14,4,36,3,22,21,5
Shimoga,Theft,2024,118,80,38,4,80,34,101,17,44
Udupi,Kidnapping,2024,10,5,5,1,6,3,3,7,1
Chamarajanagar,Rape,2024,32,16,16,6,23,3,11,21,1
Hassan,Cyber Crime,2024,49,27,22,9,39,1,31,18,5
Tumakuru,Dowry Death,2024,3,1,2,0,2,1,2,1,0
Yadgir,Cheating,2024,87,37,50,11,70,6,56,31,12
Hubballi,Murder,2024,4,1,3,0,3,1,1,3,0
Chamarajanagar,Dowry Death,2024,2,0,2,0,1,1,0,2,0
Shimoga,Robbery,2024,13,6,7,0,9,4,4,9,1
Chamarajanagar,Theft,2024,157,68,89,19,122,16,101,56,32
Tumakuru,Cyber Crime,2024,59,25,34,5,41,13,19,40,1
Davangere,Cyber Crime,2024,49,24,25,7,38,4,44,5,11
Shimoga,Molestation,2024,33,12,21,5,24,4,23,10,11
Chikkamagaluru,Molestation,2024,30,14,16,1,19,10,14,16,3
Chitradurga,Theft,2024,98,55,43,7,74,17,83,15,21
Kolar,Murder,2024,6,2,4,0,4,2,2,4,0
